"data_year","zone","habitat","nombre_pieces","loyer_moyen","surface_moyenne","moyenne_loyer_mensuel","nombre_observations"
2015,"69000","Appartement",1,10.8,62,669,1449
2015,"69000","Appartement",1,14.1,33,464,343
2015,"69000","Appartement",2,11.6,50,584,455
2015,"69000","Appartement",3,10.1,72,729,364
2015,"69000","Appartement",4,9.7,94,905,287
2015,"69000","Appartement",1,11.5,57,664,494
2015,"69000","Appartement",1,10.5,64,672,955
2015,"69000","Appartement",1,11.5,63,731,1355
2015,"69000","Appartement",1,16.3,27,446,175
2015,"69000","Appartement",2,12.4,49,609,425
2015,"69000","Appartement",3,11.2,70,786,485
2015,"69000","Appartement",4,10.4,96,994,270
2015,"69000","Appartement",1,11.9,62,736,458
2015,"69000","Appartement",1,11.4,64,729,897
2015,"69000","Appartement",1,12.3,58,715,615
2015,"69000","Appartement",1,16.2,28,446,97
2015,"69000","Appartement",2,12.8,49,627,233
2015,"69000","Appartement",3,11.55,66,796,227
2015,"69000","Appartement",4,11.55,92,1009,58
2015,"69000","Appartement",1,11.8,55,644,330
2015,"69000","Appartement",1,12.5,60,750,285
2015,"69000","Appartement",1,11.55,68,676,8080
2015,"69000","Appartement",1,11.55,63,695.5,128
2015,"69000","Maison",4,9.1,98,890,2024
2015,"69000","Appartement",4,11.55,63,695.5,426
2015,"69000","Appartement",1,13.6,31,426,826
2015,"69000","Appartement",2,11.5,46,531,2283
2015,"69000","Appartement",3,11.55,66,656,2819
2015,"69000","Maison",4,8.7,88,772,1598
2015,"69000","Appartement",1,13.7,31,429,830
2015,"69000","Appartement",2,11.4,47,531,2310
2015,"69000","Appartement",3,11.55,66,659,2916
2015,"69000","Maison",2,9.6,102,979,554
2015,"69000","Appartement",1,13.6,31,426,826
2015,"69000","Appartement",2,11.5,46,531,2283
2015,"69000","Appartement",3,11.55,66,656,2819
2015,"69000","Maison",4,8.7,88,772,1598
2015,"69000","Appartement",1,13.7,31,429,830
2015,"69000","Appartement",2,11.4,47,531,2310
2015,"69000","Appartement",3,11.55,66,659,2916
2015,"69000","Maison",4,9.1,98,890,2024
2015,"69000","Appartement",1,10.5,64,670,2868
2015,"69000","Maison",4,9.6,98,938,566
2015,"69000","Appartement",1,15.2,30,451,349
2015,"69000","Appartement",2,11.5,46,529,976
2015,"69000","Appartement",3,10.1,66,664,977
2015,"69000","Appartement",1,9.8,69,680,5212
2015,"69000","Maison",4,8.9,98,873,1458
2015,"69000","Appartement",1,12.9,32,416,481
2015,"69000","Appartement",2,11.4,47,532,1334
2015,"69000","Appartement",3,9.9,66,657,1939
2015,"69000","Appartement",1,10.5,64,670,2868
2015,"69000","Appartement",1,15.2,30,451,349
2015,"69000","Appartement",2,11.5,46,529,976
2015,"69000","Appartement",3,10.1,66,664,977
2015,"69000","Maison",4,9.6,98,938,566
2015,"69000","Appartement",1,9.8,69,680,5212
2015,"69000","Appartement",1,12.9,32,416,481
2015,"69000","Appartement",2,11.4,47,532,1334
2015,"69000","Appartement",3,9.9,66,657,1939
2015,"69000","Maison",4,8.9,98,873,1458
2015,"69000","Appartement",1,9.2,67,613,1816
2015,"69000","Maison",4,8.1,105,845,336
2015,"69000","Appartement",1,13.4,31,410,327
2015,"69000","Appartement",2,10.6,45,483,615
2015,"69000","Appartement",3,11.55,68,610,538
2015,"69000","Appartement",1,9.3,65,601,2540
2015,"69000","Maison",4,8.4,86,724,781
2015,"69000","Appartement",1,12.8,31,404,151
2015,"69000","Appartement",2,10.8,46,493,586
2015,"69000","Appartement",3,9.4,62,586,1022
2015,"69000","Appartement",1,9.5,71,679,1573
2015,"69000","Maison",4,8.5,99,835,452
2015,"69000","Appartement",1,14.4,31,450,189
2015,"69000","Appartement",2,11.55,50,546,438
2015,"69000","Appartement",3,9.8,68,666,494
2015,"69000","Appartement",1,10.6,70,740,1013
2015,"69000","Maison",4,11.55,101,1011,247
2015,"69000","Appartement",1,14.1,32,450,91
2015,"69000","Appartement",2,11.5,50,574,269
2015,"69000","Appartement",3,10.4,67,699,406
2015,"69000","Appartement",1,11.5,67,766,1138
2015,"69000","Maison",4,10.7,98,1051,208
2015,"69000","Appartement",1,14.5,32,470,72
2015,"69000","Appartement",2,12.7,45,568,402
2015,"69000","Appartement",3,11.4,66,747,456
2015,"69000","Appartement",1,9.2,67,613,1816
2015,"69000","Appartement",1,13.4,31,410,327
2015,"69000","Appartement",2,10.6,45,483,615
